DisNo,ImpactID,Location,Classification_Key,Event_Name,ISO,Total_Deaths,Total_Affected,Start_Date,Total_Damage_USD,Total_Damage_Adj_USD,duration
2000-0652-USA,b9af99a2ac300885c5a06081f9fa953f,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",nat-met-sto-tro,Leslie,USA,2.0,17433.0,2000-10-04,219000.0,387513.0,0
2001-0242-USA,72ffb616368e11dc8458ca747df77431,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",nat-met-sto-tro,Allison,USA,41.0,172000.0,2001-06-05,6000000.0,10324983.0,12
2002-0652-USA,0c0801708a595d021c0b75624ec52389,"Louisiane, Mississippi, Alabama, Tennessee provinces",nat-met-sto-tro,Isidore,USA,1.0,13200.0,2002-09-26,300000.0,508189.0,1
2002-0724-USA,1843a7e746bb7099166c93d459fe106e,"St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)",nat-met-sto-tro,Lili,USA,,,2002-10-03,2000000.0,3387927.0,0
2003-0448-BMU,aa5cfe43423d2d02d84db4d4e2bf8929,,nat-met-sto-tro,Fabian,BMU,4.0,,2003-09-05,300000.0,496909.0,1
2003-0468-CAN,7bf4903f62391239f486f3b57c5f4c47,Ontario province,nat-met-sto-tro,Isabel,CAN,,,2003-09-18,,,0
2003-0468-USA,57aa7fdca9d0639ee38c4f756a99c1c1,"North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",nat-met-sto-tro,Isabel,USA,16.0,225000.0,2003-09-18,3370000.0,5581942.0,4
2003-0487-CAN,61e561e71a36bf45f43c5bfe40b9b9f5,"Nova Scotia, Prince Edward Island provinces",nat-met-sto-tro,Juan,CAN,2.0,200.0,2003-09-28,110000.0,182200.0,1
2003-0782-USA,a87a33eba417f9280dc89439e260a53b,"Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)",nat-met-sto-tro,Bill,USA,4.0,4.0,2003-06-30,50000.0,82818.0,0
2004-0415-USA,7778c1f576a51eca021084e8ab7a89b4,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",nat-met-sto-tro,Charley,USA,10.0,30000.0,2004-08-13,16000000.0,25810787.0,0
2004-0448-USA,a470d847828f436a339b2937c083564d,"Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces",nat-met-sto-tro,Gaston,USA,7.0,,2004-08-29,62500.0,100823.0,1
2004-0455-USA,2764ce718cb40a21b0437b221b09cdaf,"Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces",nat-met-sto-tro,Frances,USA,47.0,5000000.0,2004-09-05,11000000.0,17744916.0,0
2004-0462-USA,5e4bfc3f61be88ef19251d27e0d76180,"Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces",nat-met-sto-tro,Ivan,USA,52.0,,2004-09-15,18000000.0,29037135.0,1
2004-0473-USA,cfb3095aabecd8576f30fb845fc3222f,Florida province,nat-met-sto-tro,Jeanne,USA,6.0,40000.0,2004-09-25,8000000.0,12905394.0,1
2005-0351-USA,0a7364897d5af528b503a365740bb993,"Florida, Georgia provinces",nat-met-sto-tro, Dennis,USA,5.0,,2005-07-10,2230000.0,3479333.0,0
2005-0467-USA,2207abd0e2b40a03295078dbea23ff22,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",nat-met-sto-tro,Katrina,USA,1833.0,500000.0,2005-08-29,125000000.0,195029889.0,21
2005-0547-USA,cbf4f30da5a1eef0e050fe616994286f,"Louisiana, Texas, Mississippi provinces",nat-met-sto-tro,Rita,USA,10.0,300000.0,2005-09-23,16000000.0,24963826.0,8
2005-0585-USA,119ffe85f59c1a771908b8266be6a62b,"Florida Keys, Naples areas (Collier district, Florida province)",nat-met-sto-tro, Wilma,USA,4.0,30000.0,2005-10-24,14300000.0,22311419.0,0
2006-0466-USA,3448ee7afe70827f63025fb41e1a4bdd,"South Carolina, North Carolina, Virginia provinces",nat-met-sto-tro,Ernesto,USA,6.0,140.0,2006-08-02,32860.0,49667.0,36
2007-0359-USA,a356f2ea4762a926a7262dbff645f1b5,"Texas, Oklahoma, Missouri provinces",nat-met-sto-tro,Erin,USA,7.0,,2007-08-16,,,3
2008-0304-USA,de098fa2fc158fc21bbe61cc1ffcd1ce,"Panama city beach (Bay district, Florida province), Aransas, Bexar, Brooks, Calhoun, Cameron, Hidalgo, Jim Wells, Kenedy, Kleberg, Nueces, Refugio, San Patricio, Starr, Victoria, Willacy districts (Texas province)",nat-met-sto-tro, Dolly,USA,,,2008-07-23,1200000.0,1698271.0,0
2008-0338-USA,5338a235135878436375a757caec7cef,"Florida, Georgia, Alabama, Mississippi provinces",nat-met-sto-tro,Fay,USA,12.0,400.0,2008-08-20,180000.0,254741.0,8
2008-0352-USA,1cd57e48149b40940dadc2f1009c9e07,"Louisiana, Mississippi, Texas, Alabama provinces",nat-met-sto-tro, Gustav,USA,43.0,2100000.0,2008-09-01,7000000.0,9906582.0,0
2008-0378-USA,de376fdcd4a2ec4c1eced63fb3307264,"Florida, North Carolina, Maryland provinces",nat-met-sto-tro, Hanna,USA,7.0,,2008-08-28,160000.0,226436.0,0
2008-0384-USA,9b79637463663f5136488f42d60b429d,"Galveston, Brazoria, Harris, Chambers, Jefferson districts (Texas province), Louisiana, Tennessee, Arkansas, Ohio, Indiana, Illinois, Missouri, Kentucky, Pennsylvania, Michigan provinces",nat-met-sto-tro, Ike,USA,82.0,200000.0,2008-09-12,30000000.0,42456782.0,4
2009-0342-CAN,5f680a4f6b9a795f4c810417cefbebfd,"Nova Scotia, Newfoundland and Labrador provinces",nat-met-sto-tro, Bill,CAN,,3.0,2009-08-23,,,0
2009-0342-USA,3fcccbd417160ebb6f538e92ab1cc679,Maine province,nat-met-sto-tro, Bill,USA,3.0,9.0,2009-08-23,,,0
2009-0477-USA,380648fd208c4a48e515ed679bac1904,"Kent, Sussex districts (Delaware province), Atlantic, Burlington, Cape May, Cumberland, Monmouth, Ocean districts (New Jersey province), Virginia, New York, North Carolina, Pennsylvannia provinces",nat-met-sto-tro, Ida,USA,6.0,,2009-11-09,600000.0,852165.0,1
2010-0468-USA,5dbcd2ccfc266616bd3661d5e3daabae,"North Carolina, Virginia, Maryland, Massachusetts, Rhode Island provinces",nat-met-sto-tro, Earl,USA,1.0,,2010-09-03,100000.0,139736.0,0
2010-0522-USA,f93108e095c1b9931698ed65539c0527,Texas province,nat-met-sto-tro,Tropical storm Hermine,USA,8.0,,2010-09-07,,,4
2011-0328-CAN,900baf3c9fd2019527153d8871a6ba9b,"New Brunswick,Nova Scotia, Prince Edward Island provinces",nat-met-sto-tro, Irene,CAN,1.0,,2011-08-28,,,1
2011-0328-USA,b61f2a1e1bee4a92e82f151ea3528871,"New York, New Jersey, Pennsylvania, North Carolina, Virginia, Maryland, District of Columbia, Connecticut, Florida provinces",nat-met-sto-tro, Irene,USA,46.0,370000.0,2011-08-27,7300000.0,9888551.0,17
2011-0456-USA,d0929e43ad73a0c93bba62a45d6fce91,"Louisiana, Mississippi, Alabama, Texas, New York, Pennsylvania, District of Columbia, Georgia, Maryland, Tennessee, Virginia provinces",nat-met-sto-tro,Lee,USA,15.0,600.0,2011-09-04,750000.0,1015947.0,5
2012-0176-USA,d9e7757af50f212e9df58cd7025505a3,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington, Brevard, Citrus, Hardee, Hernando, Hillsborough, Indian River, Lake, Manatee, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Volusia districts",nat-met-sto-tro,Tropical storm Debby,USA,9.0,17001.0,2012-06-22,210000.0,278698.0,5
2012-0313-USA,4207a95d359d253152bda12de71b29cf,"Mississippi, Louisiana provinces",nat-met-sto-tro, Isaac,USA,1.0,60000.0,2012-08-28,2000000.0,2654266.0,1
2012-0410-USA,893f5687e035e17749f8924d884d51fe,"New York, New Jersey, Pennsylvania, Connecticut, Ohio, Delaware, Rhode Island, Maryland, Massachusetts, Maine, New Hampshire, North Carolina, Vermont, Virginia, District of Columbia, West Virginia provinces",nat-met-sto-tro, Sandy,USA,54.0,,2012-10-28,50000000.0,66356661.0,0
2014-0310-USA,b2ce4840f065088992f1db623e92aed0,Hawaii province,nat-met-sto-tro, Iselle,USA,1.0,834.0,2014-08-08,66000.0,84948.0,2
2015-0459-USA,4d2b5da126a94a0e640736e65c2e2423,"South Carolina, North Carolina",nat-met-sto-tro,Joaquin,USA,25.0,800.0,2015-10-01,2000000.0,2571138.0,12
2016-0322-USA,f983c08a6a3be1caadca3477b4e8baeb,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",nat-met-sto-tro, Hermine,USA,3.0,14070.0,2016-09-01,600000.0,761731.0,5
2016-0355-USA,13873dc5df87944447473d6372baf43d,"Florida, Georgia, South Carolina, North Carolina, Virginia provinces",nat-met-sto-tro, Matthew,USA,49.0,,2016-10-08,10000000.0,12695523.0,4
2017-0362-USA,5caa65f0254ebb50989cbce2b5e31026,"Eastern Texas (Rockport, Corpus Chrsti, Port Lavaca, Cypress area of Houston, Houston metro area, Beaumont, Port Arthur, Angelina, Aransas, Atascosa, Austin, Bastrop, Bee, Bexar, Brazoria, Brazos, Burleson, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Jackson, Jasper, Jefferson, Jim Wells, Karnes, Kerr, Kleberg, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Newton, Nueces, Orange, Polk, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson, San Augustine), Southwestern Louisiana (Acadia, Forrest, Iberia, Lafayette, Vernon, Beauregard, Calcasieu, Cameron (Hackberry), Jefferson Davis, Vermillion, Allen, Natchitoches, Rapides, Sabine)",nat-met-sto-tro, Harvey,USA,88.0,582024.0,2017-08-25,95000000.0,118091963.0,4
2017-0381-USA,2b100119214110fc01d511ab2e741315,"Keys islands, Monroe, South Florida, Jacksonville (Duval), Marco Island, Naples (Collier), Fort Lauderdale (Broward), Lakeland (Polk), Orlando (Orange), Clay (Florida), Savannah, Tybee Island (Chatham), Brunswick, St. Simons Island (Glynn), McIntosh, Camden (Georgia), Charleston, Folly Beach, the Isle of Palms, Sullivanâ€™s Island (Charleston) Hilton Head, Beaufort, Edisto Beach (Colleton) (South Carolina)",nat-met-sto-tro, Irma,USA,97.0,70000.0,2017-09-10,57000000.0,70855178.0,18
2017-0383-USA,6ce1e2a38bb8c4dfe24fd685bf3d053d,"Jersey shore, Seaside Park, Point Pleasant Beach (Ocean), Long Branch (Monmouth) (New Jersey), Fernandina beach (Nassau-Florida)",nat-met-sto-tro, Maria,USA,4.0,,2017-09-26,,,1
2017-0410-USA,f73e84c33b301a291251a22e0056bcd8,"Mexico Gulf, Louisiania, Mississippi (coastal areas, Biloxi), Alabama (Dauphin Island, Autauga, Chilton, Lowndes Counties), Florida, South Carolina (Pickens, Laurens, Spartanburg, Newberry, Greenville, Union), North Carolina (Polk, Wilkes, Ashe )",nat-met-sto-tro,Nate,USA,,60.0,2017-10-07,250000.0,310768.0,1
2018-0170-USA,a0a80ecb5a98596b61feb06cca6cf98a,Southeast,nat-met-sto-tro,Tropical storm Alberto,USA,5.0,,2018-05-27,125000.0,151679.0,3
2018-0342-USA,075b6e189397b5f655cb04b245e51665,"South and North Carolina, Virginia",nat-met-sto-tro, Florence,USA,53.0,1500000.0,2018-09-12,14000000.0,16988092.0,6
2018-0373-USA,cba97325a0312677b92c0d5f7786b48b,"Florida, Georgia, Alabama, North Carolina, Virginia, Maryland",nat-met-sto-tro, Michael,USA,49.0,5000.0,2018-10-10,16000000.0,19414962.0,1
2019-0335-USA,c796c9ebddec2b11ed1fa3631135e1ef,"Louisiana, Mississippi, Arkansas, Oklahoma, Great Lakes region",nat-met-sto-tro,Barry,USA,1.0,,2019-07-13,600000.0,715102.0,2
2019-0412-USA,f39a6ab397aa28ba0fb4387910e45dfd,"Florida, Georgia, South Carolina, North Carolina, Virginia",nat-met-sto-tro,Dorian,USA,10.0,,2019-08-28,1600000.0,1906937.0,9
2019-0417-USA,458be1709fd9e9a88fb12f9ee3f5c607,Texas,nat-met-sto-tro,Tropical storm  Imelda,USA,5.0,1000.0,2019-09-17,3500000.0,4171426.0,4
2020-0219-USA,ebd727c32920f6c4d1c1c0218acca2a0,"errebonne, Plaquemines, Lafourche Parishes (Louisiana)",nat-met-sto-tro,Tropical storm Cristobal,USA,1.0,,2020-06-07,325000.0,382627.0,0
2020-0312-USA,dfafec29982cb24f85fa866566fc421f,"North Carolina, South Carolina, New York, Maryland, Delaware, New Jersey, Connecticut, Florida, Virginia, Pennsylvania, New Hampshire",nat-met-sto-tro, Isaias,USA,16.0,,2020-07-31,4800000.0,5651101.0,2
2020-0316-USA,9c0a453ff3e1a8f72046c3d33985c8fc,Texas,nat-met-sto-tro, Hanna,USA,,,2020-07-25,1100000.0,1295044.0,0
2020-0376-USA,fd21bfa2a44c07e7565077b20220b116,"Louisiana, Texas, Arkansas, Mississippi",nat-met-sto-tro, Laura,USA,33.0,6500.0,2020-08-27,13000000.0,15305066.0,1
2020-0412-USA,9803a6611462ef6169f8c7446c1114ea,"Louisiana, Texas, Mississippi, Georgia, North and South Carolina",nat-met-sto-tro, Delta,USA,4.0,9400.0,2020-10-07,2900000.0,3414207.0,4
2020-0438-USA,c324f2ea5620e0463d8df88bb8f0c934,"Alabama, Florida",nat-met-sto-tro, Sally,USA,8.0,,2020-09-11,6300000.0,7417070.0,7
2020-0474-USA,aef585fb9e23c2a2e82659d65ce111e6,"Florida, North Carolina, Virginia",nat-met-sto-tro, Eta,USA,12.0,,2020-11-08,1500000.0,1765969.0,4
2020-0483-USA,57983e24d1994d6d7d339220266ad37c,"Louisiana, Mississippi, Alabama, northern Georgia, south and North Carolinas",nat-met-sto-tro, Zeta,USA,6.0,,2020-10-24,3500000.0,4120595.0,6
2021-0373-USA,6e717dce9167f6f2e112576a3d181a10,"California, Georgia, Florida, North Carolina, South Carolina",nat-met-sto-tro, Elsa,USA,1.0,9.0,2021-07-02,1200000.0,1349384.0,7
2021-0531-USA,d29aa1fbcdeef76780885a4df1b09f8a,"Rhode Isl., Connecticut, Vermont, New York, New Jersey states",nat-met-sto-tro,Henri,USA,,86.0,2021-08-20,550000.0,618467.0,5
2021-0532-USA,5644901bcac7f3aa8f101583ee5cbb1c,"Transylvania, Haywood, Swain counties (North Carolina); Florida",nat-met-sto-tro,Tropical storm Fred,USA,7.0,105.0,2021-08-17,1300000.0,1461832.0,5
2021-0551-USA,ce05a7b199770f07d5370318ea7ef928,"Louisiana, New York, New Jersey, Maryland, Connecticut, Virginia, Pennsylvania, Delaware",nat-met-sto-tro,Tropical storm Ida,USA,96.0,14000.0,2021-08-28,65000000.0,73091612.0,5
2021-0583-USA,238e7c2f35daa052cc23fc59c5650279,"Texas, Louisiana",nat-met-sto-tro,Tropical storm Nicholas,USA,,,2021-09-12,1000000.0,1124486.0,5
2022-0603-CAN,fa6f4c052ed71f888fb0765e824842e2,"Nova Scotia, Prince Edward Island, Newfoundland, and Quebec",nat-met-sto-tro, Fiona,CAN,1.0,4000.0,2022-09-24,,,1
2022-0614-USA,b922576e6fe72b3de0a7935f65628cce,Charlotte and Lee Counties (Florida Peninsula); North Carolina,nat-met-sto-tro, Ian,USA,152.0,,2022-09-28,100000000.0,104116407.0,4
2022-0734-USA,00fc984be9fe09eeface3c7cbcbdc6b1,"Bahamas, Florida",nat-met-sto-tro, Nicole,USA,5.0,1500.0,2022-11-10,1000000.0,1041164.0,1
2023-0565-USA,a5c0cbb3b6927c1eb1a791df136d582c,"Tampa, St. Petersburg, Sarasota, Tarpon Springs, Fort Myers Naples (Florida); Brooks and Lowndes Counties (Georgia); Mt. Pleasant, Edisto Beach, and Folly Beach (South Carolina); Whiteville, Wilmington, Outer Banks (North Carolina)",nat-met-sto-tro, Idalia,USA,5.0,,2023-08-28,3500000.0,3500000.0,1
2024-0422-CAN,d25f2ea5a3fe84d23d76a67a3f5dd640,Nouvelle Ecosse,nat-met-sto-tro, Beryl,CAN,1.0,,2024-07-12,,,0
2024-0422-USA,fc759201f69f5fdda292f31c9f82479c,"Texas, Louisiana",nat-met-sto-tro, Beryl,USA,45.0,207.0,2024-07-08,6000000.0,,1
2024-0573-CAN,c8fd0cd342ae327d7f1c4c409997b002,Quebec,nat-met-sto-tro,Debby,CAN,1.0,,2024-08-08,2950000.0,,2
2024-0573-USA,297e6ef57e21258c14063684d1ff8b4d,"Tampa, Manatee, and St. Petersburg (Florida); Georgia; South Carolina, North Carolina, Virginia, New Yprk, Pennsylvania",nat-met-sto-tro,Debby,USA,6.0,,2024-08-05,2250000.0,,1
2024-0693-USA,80234918f59f6380f3f88aa0eaa736e5,"Florida, Georgia, North Carolina, South Carolina, Tennessee, Kentucky, Indiana and Virginia",nat-met-sto-tro,Helene,USA,227.0,,2024-09-25,56000000.0,,3
2024-0722-USA,e93fa5d59a214bbde2de70b1e82901df,"Hillsborough, Pinellas, Sarasota Volusia, Saint Petersburg, Tampa, (Florida state)",nat-met-sto-tro, Milton,USA,27.0,1013.0,2024-10-09,38000000.0,,1
