ImpactID,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total_Damage_000_USD,"Total Damage, Adjusted ('000 US$)",CPI
5cdf3bcf14b636dcea834bde8a1d89fa,1.0,12.0,,150.0,162.0,210000.0,371587.0,56.51429055927763
5370ecca580bd7737acae78e8d820169,22.0,100.0,900.0,,1000.0,,,56.51429055927763
aee9ba2fd62e6a9ad6c976d5503c5011,3.0,,231.0,,231.0,,,56.51429055927763
141de4c78e696b24e06af81baf193ea5,,,600.0,,600.0,,,56.51429055927763
28e519b25fa779a2c599392458dfb094,5.0,,3000.0,300.0,3300.0,450000.0,796259.0,56.51429055927763
37a607d222456968f0bf6d2a3bb2b47c,2.0,,,2000.0,2000.0,,,56.51429055927763
d6f63f50bf4d2af3343478b0db72d275,,,25000.0,400.0,25400.0,1500000.0,2654196.0,56.51429055927763
56664d2838451fe35810469aa14359a7,1.0,,300.0,,300.0,,,56.51429055927763
a40eb3c39cb1593c5b80913b5dab151e,,,,,,,,56.51429055927763
9ee6b3ab4918c1cde53a407907a96345,,,240.0,,240.0,,,56.51429055927763
a0c0197b167e4b78744a4acea0da2e7c,2.0,,300.0,,300.0,100000.0,176946.0,56.51429055927763
842b74e4c99dae679b2be0190143e5f8,,,,,,28500.0,50430.0,56.51429055927763
f0b66b60095d2de3ff2e42767f770397,,,,,,,,56.51429055927763
4457e9cebfe65c450ebb1bdc823ddf23,,,800.0,210.0,1010.0,,,56.51429055927763
ba414776194a5594cbfe0dfc31a24d19,,2.0,8000.0,75.0,8077.0,,,56.51429055927763
eb29f08135112418d0175280ae1e9cb2,11.0,140.0,,700.0,840.0,13000.0,23003.0,56.51429055927763
79f5d7b1285a45f56b73ff54ee5cb023,35.0,,,,,,,56.51429055927763
99e0af6da40e87c81549c15a9cfb5721,,,,,,,,56.51429055927763
a6f69db763c0932834083f5b96a6c30a,1.0,15.0,900.0,120.0,1035.0,8100.0,14333.0,56.51429055927763
f3cdf5e13e8a79c09b0b3d19504c4862,14.0,,1000.0,,1000.0,1000000.0,1769464.0,56.51429055927763
2f0c9e34a82dba179c7670756ce274a1,,,175.0,,175.0,166000.0,293731.0,56.51429055927763
a03fe066ee39153f16e3eabc6feefbea,,,300.0,,300.0,,,56.51429055927763
23f2d7e66b695bb64efbc5deb44261ea,,70.0,25000.0,104.0,25174.0,50000.0,88473.0,56.51429055927763
156de1c3a4edcf5fd67a8f0eced9d3c5,1.0,115.0,,,115.0,90000.0,159252.0,56.51429055927763
b9af99a2ac300885c5a06081f9fa953f,2.0,,14418.0,3015.0,17433.0,219000.0,387513.0,56.51429055927763
e4cb4a17286ed6ca4962f087e0c50ec5,,,,,,,,56.51429055927763
fee1fdbd02d5db12960efce4c627244b,57.0,34.0,,,34.0,,,56.51429055927763
7772db3054359660cbc0fcfa032d1434,,,100.0,,100.0,20000.0,35389.0,56.51429055927763
06d8b2e60dc17538492e26853f317e0d,4.0,,,,,350000.0,619312.0,56.51429055927763
89b7ae3bbdc3119005b0670e66cd779f,12.0,75.0,,,75.0,500000.0,884732.0,56.51429055927763
3386e6b2d3d12909f8e232ec28c33fe9,,,,,,1100000.0,1946410.0,56.51429055927763
bdfe6b7a182bb233d086a0b0b089937e,,,,,,,,56.51429055927763
f4dd3cb711526c7cb4470fa8b1fdd2f9,11.0,,,30.0,30.0,,,58.11147437438208
121ee3de0fc3d8ca66fb93988bfb3fb8,1.0,400.0,,,400.0,2000000.0,3441661.0,58.11147437438208
8a08208b3e8bb01fde8975a733c8e3bb,7.0,30.0,900.0,,930.0,250000.0,430208.0,58.11147437438208
334ca07e3b5a4ed23f8de7b5af60d21f,11.0,100.0,,,100.0,,,58.11147437438208
e09edf3008823d00ae674a2b7989ca7c,4.0,18.0,765.0,30.0,813.0,23000.0,39579.0,58.11147437438208
4b82b467ccc0cd858d42931e57eeeb0c,,,492.0,,492.0,1800.0,3097.0,58.11147437438208
4ce77ea9d8d3d05109afb676685bec47,1.0,,399.0,,399.0,,,58.11147437438208
72ffb616368e11dc8458ca747df77431,41.0,,102000.0,70000.0,172000.0,6000000.0,10324983.0,58.11147437438208
1be48f8fe68f50d1e2a19f45c282efbf,,,200.0,,200.0,,,58.11147437438208
1d834c835d9c01a6f04282fdf7ccc8fd,2.0,,100.0,,100.0,,,58.11147437438208
eec338274210e6aed14e42ebb067c249,1.0,,4400.0,,4400.0,13000.0,22371.0,58.11147437438208
ebe3655caf5fd552e82497c9df70b2e4,1.0,32.0,1707.0,,1739.0,,,58.11147437438208
893f6acd0913c0acc498b63e74fc3c04,1.0,10.0,129.0,,139.0,,,58.11147437438208
1fffb45b57cc327b48059b9c73b4b2a5,,,1200.0,,1200.0,,,58.11147437438208
6e6dc9d81f6f18a6e9a8f58c778344bc,,,75.0,18.0,93.0,,,58.11147437438208
580fd68023cf0769d327314b4b0521dd,,,,,,,,58.11147437438208
007f2c6898cdedc5a323aebf75122289,2.0,,10500.0,4500.0,15000.0,20000.0,34417.0,58.11147437438208
ab645cbf565a8210f06a5bddde3d98df,3.0,8.0,360.0,,368.0,10000.0,17208.0,58.11147437438208
44b49f687f0eb0c2f0fa1b540f5eeb09,,,225.0,,225.0,,,58.11147437438208
19e53d1ecc794000de2b87d00b44a18e,,2.0,120.0,,122.0,,,58.11147437438208
449dcbdfbddd0b81373417b23408b905,,7.0,300.0,,307.0,,,58.11147437438208
3c8442836d68e40dfb277fbc5dcc8d90,2.0,50.0,,1000.0,1050.0,30000.0,51625.0,58.11147437438208
3de3f33fd441cd289658cc01ddfec078,,,360.0,,360.0,4000.0,6883.0,58.11147437438208
636bfab3c256edbbcba020df25afb7ba,,2.0,1800.0,150.0,1952.0,7000.0,12046.0,58.11147437438208
9926e217d87dc180a1fbe9f9cd3eb95f,1.0,,,,,,,58.11147437438208
240482092817af7a231994486853b71c,9.0,,600.0,,600.0,,,58.11147437438208
0a2fcf652ed900ba862b994186d15c15,56.0,,,,,,,58.11147437438208
369b19577b26782718d61c140b49c7c0,11.0,,,200.0,200.0,,,58.11147437438208
cb7219fac51286116e10914bb3781dc9,,,3600.0,,3600.0,,,58.11147437438208
58f4a5a0b3c51cb6d9e564c934c22d92,,2.0,200.0,,202.0,3000.0,5162.0,58.11147437438208
2a5754db65ed05ec4a0df58447329634,24.0,,,,,,,59.03314407861422
fca0df58f1a9538ae9e4e9a8d6d3113a,,11.0,,123.0,134.0,6600.0,11180.0,59.03314407861422
70261210f1583efd0efaa11510ba89c8,28.0,,,,,400000.0,677585.0,59.03314407861422
b07e534df698741c574b89270a7ebb0a,20.0,,,,,,,59.03314407861422
e25e4cb257bfda9f05616f111ae3d1e0,6.0,4.0,750.0,,754.0,200500.0,339640.0,59.03314407861422
a8993afce32619df55191529c462e0de,7.0,,2000.0,,2000.0,76000.0,128741.0,59.03314407861422
cc6abf64d23e4eb423be793e4b1bdc9d,,,,1300.0,1300.0,5000.0,8470.0,59.03314407861422
23786567fe464aaecdc7934cc001ca31,9.0,,1000.0,,1000.0,13000.0,22022.0,59.03314407861422
e0964363ccf47fa648664b654c1454b0,2.0,3.0,150.0,30.0,183.0,,,59.03314407861422
e8df16d9d9feab6d75648d1abdb4e171,1.0,12.0,,,12.0,4000.0,6776.0,59.03314407861422
98f7a020dabac8d34e776c6ac50f21cc,10.0,100.0,,,100.0,2200000.0,3726720.0,59.03314407861422
974da34708b4ce323417a482a2bc17e8,,,,,,,,59.03314407861422
d6b3b93e308637aef50b17e703ec4d45,,,,,,,,59.03314407861422
923aca58ae7f656d80f961f19aebfe4a,,,1500.0,72.0,1572.0,20000.0,33879.0,59.03314407861422
50311e624225a63b2663d7539027805d,14.0,,,,,,,59.03314407861422
3dfc10fc87be3d6526fb8a6e1d8eeb18,,,,1269.0,1269.0,200500.0,339640.0,59.03314407861422
39c5fbfe9086151a55abda9e0c23a168,,,,,,,,59.03314407861422
3c46a901c21a7a4689d258ad373ef9aa,,,600.0,,600.0,,,59.03314407861422
ae72f74a3ac693a029b73d8fec716f16,10.0,,144000.0,,144000.0,1000000.0,1693964.0,59.03314407861422
8fb09b06844dac8e1f94c328dedb89e6,214.0,,3523.0,,3523.0,,,59.03314407861422
08512b4aa4cddb721afaa9b4b9ce1e1d,,36.0,450.0,51.0,537.0,20000.0,33879.0,59.03314407861422
d591347d9b4fccb322848fb1d98fc40b,,,750.0,,750.0,,,59.03314407861422
9973efd85faa20731e9b24d4e916f7e1,,,2000.0,213.0,2213.0,,,59.03314407861422
78bf85377a2c97604aadd9481bc8f9d7,,,,,,,,59.03314407861422
0c0801708a595d021c0b75624ec52389,1.0,,13200.0,,13200.0,300000.0,508189.0,59.03314407861422
5462a31c348a921e06f1584d81c1a509,,,101.0,,101.0,,,59.03314407861422
703897640aa972e09466c318c3a933aa,2.0,,139.0,,139.0,,,59.03314407861422
82b3b236b1538d588100b7ea30533261,36.0,115.0,3600.0,351.0,4066.0,700000.0,1185775.0,59.03314407861422
1843a7e746bb7099166c93d459fe106e,,,,,,2000000.0,3387927.0,59.03314407861422
e4c7adf4666576c95be0b4601b8bdad7,30.0,,,,,450500.0,763131.0,59.03314407861422
987591094f8e76b20d562c7c9863b343,13.0,,,,,,,59.03314407861422
6ea78b84e68d5db245c69837118d8228,18.0,,,,,,,59.03314407861422
a0030c42a6dcaeaed6f637d6f2c1254f,1.0,47.0,,,47.0,,,59.03314407861422
d7fb6b991b8bef114d35632090579577,,,,,,3300000.0,5590080.0,59.03314407861422
c99c84f7ab42d91883d34b0648380718,44.0,,120.0,,120.0,200000.0,331273.0,60.37325106625937
0a10c3152fd7133547659a255fd36825,,,1100.0,,1100.0,,,60.37325106625937
141d9a9af260d0e79eb0520ba8aa651f,6.0,200.0,,186.0,386.0,5000000.0,8281813.0,60.37325106625937
3caa8683f3aae2c649ff78ffba232c33,3.0,,,,,25000.0,41409.0,60.37325106625937
bdeba8df0028a59609c6ef39f289bf3e,45.0,145.0,,15000.0,15145.0,4000000.0,6625451.0,60.37325106625937
df3d8cc6ed041545a8814e5eb8d8c2fa,2.0,,170.0,,170.0,10000.0,16564.0,60.37325106625937
ba3c1396a3471c675ee2af133ce2c74a,,,,750.0,750.0,,,60.37325106625937
533c16c8e8ed5623b7ae9796aa9116b2,3.0,,1200.0,,1200.0,106000.0,175574.0,60.37325106625937
4fe2b7040aa428f40a556c080e0eb3ef,1.0,,,,,545000.0,902718.0,60.37325106625937
b2273788f3e89a0963d4da38b2b97b60,,,1500.0,,1500.0,,,60.37325106625937
9c22ee5fa4a62d7a273aed0738bd80da,,,400.0,,400.0,10000.0,16564.0,60.37325106625937
aa5cfe43423d2d02d84db4d4e2bf8929,4.0,,,,,300000.0,496909.0,60.37325106625937
7bf4903f62391239f486f3b57c5f4c47,,,,,,,,60.37325106625937
57aa7fdca9d0639ee38c4f756a99c1c1,16.0,,225000.0,,225000.0,3370000.0,5581942.0,60.37325106625937
61e561e71a36bf45f43c5bfe40b9b9f5,2.0,,200.0,,200.0,110000.0,182200.0,60.37325106625937
00733c044008147bae3d7cf50330a416,2.0,,800.0,,800.0,15000.0,24845.0,60.37325106625937
41d6a6a0049ca68a156a808f666b1e68,,,,,,,,60.37325106625937
458c005c6b1ed49e2de74ea9755c5028,14.0,104.0,27000.0,,27104.0,,,60.37325106625937
b8e8e837477d429b13040acb8ef372eb,8.0,,1125.0,,1125.0,,,60.37325106625937
f76abf3c02043c890d3c823c10674780,13.0,,,,,,,60.37325106625937
53d0890532e662c689f78242e2bb7e14,2.0,40.0,,120.0,160.0,200000.0,331273.0,60.37325106625937
15e2dfc57f57a4206f95e1c003cf91d3,15.0,15.0,,,15.0,,,60.37325106625937
fb069eb74e40db79e3379523a0adb699,18.0,,,,,,,60.37325106625937
bd62bf7099a7ea1e69dc25d4f5f93354,4.0,18.0,100.0,,118.0,400000.0,662545.0,60.37325106625937
6473e700110abe2e2f83c2949fbf20c1,3.0,,2000.0,,2000.0,17000.0,28158.0,60.37325106625937
7988a7098c93878ed679298f17be0d9d,,,150.0,45.0,195.0,,,60.37325106625937
a87a33eba417f9280dc89439e260a53b,4.0,4.0,,,4.0,50000.0,82818.0,60.37325106625937
972a9b86df0bcbda6390f1698aca0950,4.0,40.0,,,40.0,3500000.0,5797269.0,60.37325106625937
6002cd78e4ac894084a8137f1e36c1f3,2.0,54.0,,,54.0,,,60.37325106625937
2422180166a24b685c0ca686d95f6f12,13.0,,,,,2100000.0,3478362.0,60.37325106625937
246a7072626a000cb96bed1dabef3aea,14.0,,,,,,,60.37325106625937
e11d700185e3d4cd06aace8d7085c810,,,,,,100000.0,161317.0,61.98958593432169
cbca3133bb9d905b12f16d9e3bbd03bd,56.0,,,,,60000.0,96790.0,61.98958593432169
d7de18a76b911bb69f08d52607dfb075,,,,,,,,61.98958593432169
c7a249e72c01bcb58190a1d74dfa9323,9.0,,1404.0,345.0,1749.0,300000.0,483952.0,61.98958593432169
bad8357958ef95a3e92c4736fa46a5e1,,,1000.0,,1000.0,,,61.98958593432169
53d136a92dc7930fcf07c0122bbe5bd8,,,306.0,,306.0,4500.0,7259.0,61.98958593432169
fb4ab09c191d836029ba14e1a974a996,,,15000.0,,15000.0,,,61.98958593432169
53e8f9a69406fc49018e057189c2c0ac,5.0,37.0,6000.0,408.0,6445.0,1100000.0,1774492.0,61.98958593432169
2128d6d8b596c59cb279e4146a045504,,,4929.0,,4929.0,,,61.98958593432169
7262561d132bd40f5487bff673aef7af,10.0,,1000.0,,1000.0,700000.0,1129222.0,61.98958593432169
8eb02a5b2d1c1e0af7be18169514a99c,4.0,6.0,307.0,,313.0,170.0,274.0,61.98958593432169
f83339bba39a51472409921bbde2c131,,,,,,200000.0,322635.0,61.98958593432169
b4a5a49f4fa1c93ca88e854aca027499,,,200.0,42.0,242.0,,,61.98958593432169
7778c1f576a51eca021084e8ab7a89b4,10.0,,30000.0,,30000.0,16000000.0,25810787.0,61.98958593432169
af60fc622348345d51439f429d999096,,5.0,,240.0,245.0,,,61.98958593432169
a470d847828f436a339b2937c083564d,7.0,,,,,62500.0,100823.0,61.98958593432169
2764ce718cb40a21b0437b221b09cdaf,47.0,,5000000.0,,5000000.0,11000000.0,17744916.0,61.98958593432169
5e4bfc3f61be88ef19251d27e0d76180,52.0,,,,,18000000.0,29037135.0,61.98958593432169
cfb3095aabecd8576f30fb845fc3222f,6.0,,40000.0,,40000.0,8000000.0,12905394.0,61.98958593432169
c585a29a866ea732857c122a82eb48c6,,,189.0,,189.0,2100.0,3388.0,61.98958593432169
cc3df082ef5206af44c004ff8a9e339b,,,105.0,,105.0,1000.0,1613.0,61.98958593432169
4b88cc98ae82518230f91d85be2f1c7f,1.0,,,,,500000.0,806587.0,61.98958593432169
59ea825a1194707a70e7407face6172f,9.0,14.0,,,14.0,,,61.98958593432169
0eabc29261e5fdf2049682d9efbd41e3,3.0,,,,,,,61.98958593432169
691d1cd24ee466ba125b3edd587fc4f8,28.0,8.0,500.0,,508.0,200000.0,312048.0,64.09274025742687
dcb0a6fc21c0ab1f162e751e291f72f5,20.0,,,,,350000.0,546084.0,64.09274025742687
fc0edaaa7b18ad7adb2dd085267248f5,9.0,,150.0,,150.0,250000.0,390060.0,64.09274025742687
0236c7553030484c52b27000aae2c375,2.0,,11000.0,,11000.0,30000.0,46807.0,64.09274025742687
8e5af6e9db32f012fabf521daf49b037,,8.0,45.0,51.0,104.0,350000.0,546084.0,64.09274025742687
15a0e5299c44a440c32638c9a167fcbc,,,,,,5330.0,8316.0,64.09274025742687
0a7364897d5af528b503a365740bb993,5.0,,,,,2230000.0,3479333.0,64.09274025742687
53b9c09c715837e4e087a5a05fa5db59,,,,,,,,64.09274025742687
c4bf56f3223fdb811f61d0ddf0d9dbc7,,,,,,,,64.09274025742687
2207abd0e2b40a03295078dbea23ff22,1833.0,,500000.0,,500000.0,125000000.0,195029889.0,64.09274025742687
d0a737b9937595465c039bd4080dd166,,,120.0,81.0,201.0,,,64.09274025742687
cbf4f30da5a1eef0e050fe616994286f,10.0,,300000.0,,300000.0,16000000.0,24963826.0,64.09274025742687
be76161b49e7156b523e8a2f5e4f0c54,,,300.0,,300.0,,,64.09274025742687
53bd9a657e7aae52b45949e38bc7bc59,11.0,,3000.0,,3000.0,,,64.09274025742687
119ffe85f59c1a771908b8266be6a62b,4.0,,30000.0,,30000.0,14300000.0,22311419.0,64.09274025742687
c39f93ba75266783cbb35beb189abab6,,,600.0,,600.0,,,64.09274025742687
1f2ebcb787151e13498dad6b873d3990,10.0,,,,,,,64.09274025742687
67aa275921206de697c40dee5dfe042f,33.0,31.0,,,31.0,,,64.09274025742687
b71e5ceaa74478a42697b046ed419f63,3.0,,3600.0,,3600.0,245000.0,382259.0,64.09274025742687
f1d1fd838d7d51c5e7c22cb31a134ec8,5.0,,,1410.0,1410.0,100000.0,156024.0,64.09274025742687
59796251f79c37c8c70f44a373527b6c,4.0,,5000.0,,5000.0,357000.0,557005.0,64.09274025742687
6b3811396ebc251cd6ba3ff03b8087ab,10.0,42.0,,,42.0,1200000.0,1813776.0,66.16033056179792
42649e0a153ebf81f03ffe0157f27ec3,28.0,36.0,3600.0,,3636.0,600000.0,906888.0,66.16033056179792
6eaa319ec0800ba0e2967ed1adb604f7,12.0,160.0,465.0,,625.0,1600000.0,2418368.0,66.16033056179792
73b6fe362359dd80cb5b5abbb15a7c0c,1.0,,600.0,,600.0,259000.0,391473.0,66.16033056179792
f73a1bef9e6fbf90a23190dc659a0b05,7.0,,,,,12000.0,18138.0,66.16033056179792
2087e3c13564a30b25d4cbb971a235ed,,,200.0,,200.0,,,66.16033056179792
3d27b19d29516b23de5c26a1d0e8cc9f,,,1000.0,,1000.0,,,66.16033056179792
f9ec77ad5000b238dddec7dbc6420c23,,,2000.0,,2000.0,,,66.16033056179792
a7e13cc6d9cf46e2b50df89688f76455,1.0,,600.0,,600.0,450000.0,680166.0,66.16033056179792
d4e88f859caa7c4f9bf411ac2da05f6b,2.0,,2500.0,,2500.0,85000.0,128476.0,66.16033056179792
b20615e7cb820bb0ff1a18f5479a5f10,,,300.0,,300.0,,,66.16033056179792
add2955d86089b2a2447c2e14b82e1af,1.0,,400.0,,400.0,,,66.16033056179792
51a1544eb1446b4c87dc98cfde26d622,11.0,,65000.0,,65000.0,1000000.0,1511480.0,66.16033056179792
ccd0a85487149aa6727abe86d24ecfce,2.0,,2400.0,,2400.0,7000.0,10580.0,66.16033056179792
b4a3e30c4635d296949525fab62aa012,1.0,17.0,,150.0,167.0,16000.0,24184.0,66.16033056179792
de6db375a29af985762e9e81adaf6c5b,164.0,,,,,,,66.16033056179792
fd7faaaa0d786d6b906c5b3a80e234cd,,,,,,100000.0,151148.0,66.16033056179792
f62df667a88ef9dc59b514c25ebc326c,1.0,,600.0,,600.0,,,66.16033056179792
13f982e50f4435e7f70edfb0564f90f2,24.0,,,,,,,66.16033056179792
a88bbaa31f00bec391c51bb2398fe1a8,,,150.0,,150.0,15500.0,23428.0,66.16033056179792
3448ee7afe70827f63025fb41e1a4bdd,6.0,,140.0,,140.0,32860.0,49667.0,66.16033056179792
32e9ec1b01488719ea815339e40e82d8,14.0,10.0,1200.0,,1210.0,,,66.16033056179792
fb5a232b7f1a29316aee0bb91d67f9cc,,,100.0,,100.0,,,66.16033056179792
f61c7997cea9e160ee43f9ae7fbb13f3,4.0,1.0,,102.0,103.0,25000.0,37787.0,66.16033056179792
2742d01fbf18e6ee51098f4e318164e6,12.0,20.0,,,20.0,95000.0,143591.0,66.16033056179792
cfdaa3b89254b0703bc2523ef8d1da0e,2.0,,1500.0,,1500.0,,,66.16033056179792
09cbaf88f6c143f386a74c1b58e02a45,3.0,,,,,300000.0,453444.0,66.16033056179792
d0ffe9a7f18f2bf397c43ac188c2fd2f,,,,15.0,15.0,25000.0,37787.0,66.16033056179792
7b0e6309b5e93b341fd8dcdbdd8b8cbd,,10.0,3519.0,,3529.0,150000.0,226722.0,66.16033056179792
7383989cd00f6d1ec18eba543780dbb6,,,600.0,,600.0,90000.0,136033.0,66.16033056179792
101d4055d0c3e7e2bd1f06d82491d528,,,,,,,,66.16033056179792
debe41e41773eddf6930dd4bf8f9d044,,,,,,360000.0,544133.0,66.16033056179792
bd5acbff8b1de38fb56b7d822c912ca2,11.0,,,,,,,66.16033056179792
1f5d98a436d7e728f29af630d2405a63,10.0,,,,,,,66.16033056179792
8e2da789f3589996911e15cad385f7eb,12.0,,,300.0,300.0,150000.0,226722.0,66.16033056179792
df00352ea983842e8f14c91076c073ef,65.0,220.0,,,220.0,500000.0,734779.0,68.0476738315874
91ccbd26b813ee84d08b1a5d0d045c96,24.0,,,,,,,68.0476738315874
4008a2bb1ce0f7d0e3378f6051c96a63,20.0,,6600.0,,6600.0,130000.0,191043.0,68.0476738315874
6cac820861044e1c32a6aeb23001f47e,2.0,,,,,,,68.0476738315874
fb263dcc7ef3ef46317c5f4fb770df6e,16.0,,,,,140000.0,205738.0,68.0476738315874
5d85facf84feb89e3e2aba6bf611a44a,20.0,20.0,,,20.0,600000.0,881735.0,68.0476738315874
5b5e54b26d239e94b53e53f649d087ce,10.0,80.0,,200.0,280.0,,,68.0476738315874
cee29cf0a7f09416a058ebdeed8ac89d,,,500.0,,500.0,,,68.0476738315874
b0d8cb204a10af50f66a00ed43807085,8.0,,100.0,,100.0,,,68.0476738315874
b3074efb5023267f6952e5aecec4b8c6,8.0,,5000.0,,5000.0,,,68.0476738315874
010d7b76b69ebcfedd3d7bd845872f73,4.0,,120.0,,120.0,,,68.0476738315874
96781c9aa0fa886c7911fdfb065e1655,10.0,,750.0,,750.0,28000.0,41148.0,68.0476738315874
e3623bca0e7d39b33714f75d40e41259,,,,768.0,768.0,,,68.0476738315874
a356f2ea4762a926a7262dbff645f1b5,7.0,,,,,,,68.0476738315874
def7ab912fefada57dba7faaf63724db,26.0,40.0,2800.0,,2840.0,700000.0,1028691.0,68.0476738315874
59d0559f78d93043b54ac9d0a9cfa75f,8.0,64.0,640000.0,,640064.0,2500000.0,3673895.0,68.0476738315874
37b4afb760fcfb1f53b9f854ca39b199,,,10000.0,159.0,10159.0,315000.0,462911.0,68.0476738315874
f7e8dec458bf334683ea4b1eb494e455,17.0,28.0,1100.0,,1128.0,1000000.0,1469558.0,68.0476738315874
eebacf367e99ca236c60bd405893f6c7,4.0,,,,,,,68.0476738315874
121195ddc4443ea46ab03ba01c381d68,22.0,,,,,,,68.0476738315874
d54c9611f4e90c34bd73d16667c02379,24.0,2.0,,,2.0,500000.0,734779.0,68.0476738315874
5dbc95d81649d22180112622de7231ab,12.0,40.0,,,40.0,350000.0,514345.0,68.0476738315874
ab5e04758c920f0c5d3375d47f9787a0,23.0,,,,,2000000.0,2939116.0,68.0476738315874
513dc1ee3f1746d920e7d4f0fe4a1388,4.0,27.0,,,27.0,300000.0,440867.0,68.0476738315874
3a0fa6bee4872a9f25931031c77f7363,5.0,,,,,300000.0,440867.0,68.0476738315874
2a98ef885c35065ef134dcb99b402221,,,,,,300000.0,440867.0,68.0476738315874
54c82978bf99035807bad015e6686afb,2.0,,1500.0,,1500.0,,,70.66008903450533
